420.0466	60.7	3.4
546.7365	38.4	2.6
837.7662	13.6	3.1
838.9487	12.7	3
861.8046	30.8	2.9
1069.0362	12.6	3
1070.1319	9.2	3
1071.1149	12.9	3.3
1072.1295	5.3	3.1
1073.0296	0.4	3.2
1172.8957	44	3.3
1226.7806	7.7	3.2
1227.7817	4.4	3.1
1228.7429	-2.1	2.9
1412.1416	-25.7	4.3
1543.9828	-26.6	3.1
1550.9426	-38.5	3.5
1551.9401	-36.9	3.6
1552.8916	-41	3.4
1580.7612	-31.2	4.1
1581.8356	-31.6	3.1
1582.7885	-33.5	3.4
1583.7239	-28.1	3.8
1884.0444	-11	3.7
1900.0352	11.3	3.3
1974.8002	53.6	3.6
2007.7452	9.3	3.5
2242.9906	57.2	3.9
2333.9455	-10.5	4.3
2334.7856	-1.1	4
